s,k,res,acc_mean,acc_std,n_runs
64,5,0.6,0.305344,0.0,3
64,5,0.7,0.305344,0.0,3
64,5,0.8,0.305344,0.0,3
64,5,0.9,0.305344,0.0,3
64,5,1.0,0.696391,0.0,3
64,5,1.1,0.696391,0.0,3
64,5,1.2,0.696391,0.0,3
64,5,1.3,0.696391,0.0,3
64,5,1.4,0.696391,0.0,3
64,5,1.5,0.696391,0.0,3
64,10,0.6,0.305344,0.0,3
64,10,0.7,0.305344,0.0,3
64,10,0.8,0.305344,0.0,3
64,10,0.9,0.305344,0.0,3
64,10,1.0,0.700902,0.0,3
64,10,1.1,0.700902,0.0,3
64,10,1.2,0.700902,0.0,3
64,10,1.3,0.700902,0.0,3
64,10,1.4,0.700902,0.0,3
64,10,1.5,0.700902,0.0,3
64,15,0.6,0.305344,0.0,3
64,15,0.7,0.305344,0.0,3
64,15,0.8,0.305344,0.0,3
64,15,0.9,0.305344,0.0,3
64,15,1.0,0.696738,0.0,3
64,15,1.1,0.696738,0.0,3
64,15,1.2,0.696738,0.0,3
64,15,1.3,0.696738,0.0,3
64,15,1.4,0.696738,0.0,3
64,15,1.5,0.696738,0.0,3
64,20,0.6,0.305344,0.0,3
64,20,0.7,0.305344,0.0,3
64,20,0.8,0.305344,0.0,3
64,20,0.9,0.305344,0.0,3
64,20,1.0,0.686329,0.0,3
64,20,1.1,0.686329,0.0,3
64,20,1.2,0.686329,0.0,3
64,20,1.3,0.686329,0.0,3
64,20,1.4,0.686329,0.0,3
64,20,1.5,0.686329,0.0,3
64,30,0.6,0.305344,0.0,3
64,30,0.7,0.305344,0.0,3
64,30,0.8,0.305344,0.0,3
64,30,0.9,0.305344,0.0,3
64,30,1.0,0.680777,0.0,3
64,30,1.1,0.680777,0.0,3
64,30,1.2,0.680777,0.0,3
64,30,1.3,0.680777,0.0,3
64,30,1.4,0.680777,0.0,3
64,30,1.5,0.680777,0.0,3
128,5,0.6,0.305344,0.0,3
128,5,0.7,0.305344,0.0,3
128,5,0.8,0.305344,0.0,3
128,5,0.9,0.305344,0.0,3
128,5,1.0,0.672797,0.0,3
128,5,1.1,0.672797,0.0,3
128,5,1.2,0.672797,0.0,3
128,5,1.3,0.672797,0.0,3
128,5,1.4,0.672797,0.0,3
128,5,1.5,0.672797,0.0,3
128,10,0.6,0.305344,0.0,3
128,10,0.7,0.305344,0.0,3
128,10,0.8,0.305344,0.0,3
128,10,0.9,0.305344,0.0,3
