s,k,res,s2,acc
64,5,0.6,3,0.305344
64,5,0.6,5,0.305344
64,5,0.6,8,0.305344
64,5,0.6,16,0.305344
64,5,0.6,24,0.305344
64,5,0.6,32,0.305344
64,5,0.6,48,0.305344
64,5,0.6,64,0.305344
64,5,0.6,96,0.305344
64,5,0.6,128,0.305344
64,5,0.6,192,0.305344
64,5,0.6,256,0.305344
64,5,0.7,3,0.305344
64,5,0.7,5,0.305344
64,5,0.7,8,0.305344
64,5,0.7,16,0.305344
64,5,0.7,24,0.305344
64,5,0.7,32,0.305344
64,5,0.7,48,0.305344
64,5,0.7,64,0.305344
64,5,0.7,96,0.305344
64,5,0.7,128,0.305344
64,5,0.7,192,0.305344
64,5,0.7,256,0.305344
64,5,0.8,3,0.305344
64,5,0.8,5,0.305344
64,5,0.8,8,0.305344
64,5,0.8,16,0.305344
64,5,0.8,24,0.305344
64,5,0.8,32,0.305344
64,5,0.8,48,0.305344
64,5,0.8,64,0.305344
64,5,0.8,96,0.305344
64,5,0.8,128,0.305344
64,5,0.8,192,0.305344
64,5,0.8,256,0.305344
64,5,0.9,3,0.305344
64,5,0.9,5,0.305344
64,5,0.9,8,0.305344
64,5,0.9,16,0.305344
64,5,0.9,24,0.305344
64,5,0.9,32,0.305344
64,5,0.9,48,0.305344
64,5,0.9,64,0.305344
64,5,0.9,96,0.305344
64,5,0.9,128,0.305344
64,5,0.9,192,0.305344
64,5,0.9,256,0.305344
64,5,1.0,3,0.709924
64,5,1.0,5,0.696391
64,5,1.0,8,0.709577
64,5,1.0,16,0.704372
64,5,1.0,24,0.550312
64,5,1.0,32,0.66898
64,5,1.0,48,0.666898
64,5,1.0,64,0.663428
64,5,1.0,96,0.510062
64,5,1.0,128,0.5517
64,5,1.0,192,0.497224
64,5,1.0,256,0.403192
64,5,1.1,3,0.709924
64,5,1.1,5,0.696391
64,5,1.1,8,0.709577
64,5,1.1,16,0.704372
64,5,1.1,24,0.550312
64,5,1.1,32,0.66898
64,5,1.1,48,0.666898
64,5,1.1,64,0.663428
64,5,1.1,96,0.510062
64,5,1.1,128,0.5517
64,5,1.1,192,0.497224
64,5,1.1,256,0.403192
64,5,1.2,3,0.709924
64,5,1.2,5,0.696391
64,5,1.2,8,0.709577
64,5,1.2,16,0.704372
64,5,1.2,24,0.550312
64,5,1.2,32,0.66898
64,5,1.2,48,0.666898
64,5,1.2,64,0.663428
64,5,1.2,96,0.510062
64,5,1.2,128,0.5517
64,5,1.2,192,0.497224
64,5,1.2,256,0.403192
64,5,1.3,3,0.709924
64,5,1.3,5,0.696391
64,5,1.3,8,0.709577
64,5,1.3,16,0.704372
64,5,1.3,24,0.550312
64,5,1.3,32,0.66898
64,5,1.3,48,0.666898
64,5,1.3,64,0.663428
64,5,1.3,96,0.510062
64,5,1.3,128,0.5517
64,5,1.3,192,0.497224
64,5,1.3,256,0.403192
64,5,1.4,3,0.709924
64,5,1.4,5,0.696391
64,5,1.4,8,0.709577
64,5,1.4,16,0.704372
64,5,1.4,24,0.550312
64,5,1.4,32,0.66898
64,5,1.4,48,0.666898
64,5,1.4,64,0.663428
64,5,1.4,96,0.510062
64,5,1.4,128,0.5517
64,5,1.4,192,0.497224
64,5,1.4,256,0.403192
64,5,1.5,3,0.709924
64,5,1.5,5,0.696391
64,5,1.5,8,0.709577
64,5,1.5,16,0.704372
64,5,1.5,24,0.550312
64,5,1.5,32,0.66898
64,5,1.5,48,0.666898
64,5,1.5,64,0.663428
64,5,1.5,96,0.510062
64,5,1.5,128,0.5517
64,5,1.5,192,0.497224
64,5,1.5,256,0.403192
64,10,0.6,3,0.305344
64,10,0.6,5,0.305344
64,10,0.6,8,0.305344
64,10,0.6,16,0.305344
64,10,0.6,24,0.305344
64,10,0.6,32,0.305344
64,10,0.6,48,0.305344
64,10,0.6,64,0.305344
64,10,0.6,96,0.305344
64,10,0.6,128,0.305344
64,10,0.6,192,0.305344
64,10,0.6,256,0.305344
64,10,0.7,3,0.305344
64,10,0.7,5,0.305344
64,10,0.7,8,0.305344
64,10,0.7,16,0.305344
64,10,0.7,24,0.305344
64,10,0.7,32,0.305344
64,10,0.7,48,0.305344
64,10,0.7,64,0.305344
64,10,0.7,96,0.305344
64,10,0.7,128,0.305344
64,10,0.7,192,0.305344
64,10,0.7,256,0.305344
64,10,0.8,3,0.305344
64,10,0.8,5,0.305344
64,10,0.8,8,0.305344
64,10,0.8,16,0.305344
64,10,0.8,24,0.305344
64,10,0.8,32,0.305344
64,10,0.8,48,0.305344
64,10,0.8,64,0.305344
64,10,0.8,96,0.305344
64,10,0.8,128,0.305344
64,10,0.8,192,0.305344
64,10,0.8,256,0.305344
64,10,0.9,3,0.305344
64,10,0.9,5,0.305344
64,10,0.9,8,0.305344
64,10,0.9,16,0.305344
64,10,0.9,24,0.305344
64,10,0.9,32,0.305344
64,10,0.9,48,0.305344
64,10,0.9,64,0.305344
64,10,0.9,96,0.305344
64,10,0.9,128,0.305344
64,10,0.9,192,0.305344
64,10,0.9,256,0.305344
64,10,1.0,3,0.699861
64,10,1.0,5,0.687717
64,10,1.0,8,0.714781
64,10,1.0,16,0.71374
64,10,1.0,24,0.690493
64,10,1.0,32,0.685982
64,10,1.0,48,0.684941
64,10,1.0,64,0.691881
64,10,1.0,96,0.661693
64,10,1.0,128,0.513532
64,10,1.0,192,0.564885
64,10,1.0,256,0.472935
64,10,1.1,3,0.699861
64,10,1.1,5,0.687717
64,10,1.1,8,0.714781
64,10,1.1,16,0.71374
64,10,1.1,24,0.690493
64,10,1.1,32,0.685982
64,10,1.1,48,0.684941
64,10,1.1,64,0.691881
64,10,1.1,96,0.661693
64,10,1.1,128,0.513532
64,10,1.1,192,0.564885
64,10,1.1,256,0.472935
64,10,1.2,3,0.699861
64,10,1.2,5,0.687717
64,10,1.2,8,0.714781
64,10,1.2,16,0.71374
64,10,1.2,24,0.690493
64,10,1.2,32,0.685982
64,10,1.2,48,0.684941
64,10,1.2,64,0.691881
64,10,1.2,96,0.661693
64,10,1.2,128,0.513532
64,10,1.2,192,0.564885
64,10,1.2,256,0.472935
64,10,1.3,3,0.699861
64,10,1.3,5,0.687717
64,10,1.3,8,0.714781
64,10,1.3,16,0.71374
64,10,1.3,24,0.690493
64,10,1.3,32,0.685982
64,10,1.3,48,0.684941
64,10,1.3,64,0.691881
64,10,1.3,96,0.661693
64,10,1.3,128,0.513532
64,10,1.3,192,0.564885
64,10,1.3,256,0.472935
64,10,1.4,3,0.699861
64,10,1.4,5,0.687717
64,10,1.4,8,0.714781
64,10,1.4,16,0.71374
64,10,1.4,24,0.690493
64,10,1.4,32,0.685982
64,10,1.4,48,0.684941
64,10,1.4,64,0.691881
64,10,1.4,96,0.661693
64,10,1.4,128,0.513532
64,10,1.4,192,0.564885
64,10,1.4,256,0.472935
64,10,1.5,3,0.699861
64,10,1.5,5,0.687717
64,10,1.5,8,0.714781
64,10,1.5,16,0.71374
64,10,1.5,24,0.690493
64,10,1.5,32,0.685982
64,10,1.5,48,0.684941
64,10,1.5,64,0.691881
64,10,1.5,96,0.661693
64,10,1.5,128,0.513532
64,10,1.5,192,0.564885
64,10,1.5,256,0.472935
64,15,0.6,3,0.305344
64,15,0.6,5,0.305344
64,15,0.6,8,0.305344
64,15,0.6,16,0.305344
64,15,0.6,24,0.305344
64,15,0.6,32,0.305344
64,15,0.6,48,0.305344
64,15,0.6,64,0.305344
64,15,0.6,96,0.305344
64,15,0.6,128,0.305344
64,15,0.6,192,0.305344
64,15,0.6,256,0.305344
64,15,0.7,3,0.305344
64,15,0.7,5,0.305344
64,15,0.7,8,0.305344
64,15,0.7,16,0.305344
64,15,0.7,24,0.305344
64,15,0.7,32,0.305344
64,15,0.7,48,0.305344
64,15,0.7,64,0.305344
64,15,0.7,96,0.305344
64,15,0.7,128,0.305344
64,15,0.7,192,0.305344
64,15,0.7,256,0.305344
64,15,0.8,3,0.305344
64,15,0.8,5,0.305344
64,15,0.8,8,0.305344
64,15,0.8,16,0.305344
64,15,0.8,24,0.305344
64,15,0.8,32,0.305344
64,15,0.8,48,0.305344
64,15,0.8,64,0.305344
64,15,0.8,96,0.305344
64,15,0.8,128,0.305344
64,15,0.8,192,0.305344
64,15,0.8,256,0.305344
64,15,0.9,3,0.305344
64,15,0.9,5,0.305344
64,15,0.9,8,0.305344
64,15,0.9,16,0.305344
64,15,0.9,24,0.305344
