s,k,res,s2,acc_mean,acc_std,n_runs
1,15,1.0,96,0.1278971,0.020767948302372097,10
2,15,1.0,96,0.1295626,0.02488435158568533,10
4,15,1.0,96,0.2402498,0.052315081339514326,10
8,15,1.0,96,0.3615544,0.09237256563958804,10
16,15,1.0,96,0.5054824,0.07498784857721949,10
32,15,1.0,96,0.633796,0.06471070304362331,10
64,15,1.0,96,0.6730741,0.024742643409506604,10
128,15,1.0,96,0.6993755,0.021065526645446104,10
256,15,1.0,96,0.7068009,0.015586306999735365,10
512,15,1.0,96,0.7199515,0.017999929573473343,10
1024,15,1.0,96,0.7430257,0.02378297073979614,10
