s,k,res,acc_mean,acc_std,n_runs
1,5,0.6,0.0436502,0.004623420720635318,10
1,5,0.7,0.0449686,0.011951707570050398,10
1,5,0.8,0.0431644,0.009978521285240615,10
1,5,0.9,0.0419847,0.006937899697314743,10
1,5,1.0,0.0375781,0.008850607995499518,10
1,5,1.1,0.0386884,0.007836528264480388,10
1,5,1.2,0.0415682,0.011114144751621693,10
1,5,1.3,0.0394518,0.005752191126866354,10
1,5,1.4,0.0387232,0.004689509543651661,10
1,5,1.5,0.038966100000000004,0.005163308695981678,10
1,10,0.6,0.0624913,0.007377718889331579,10
1,10,0.7,0.0671755,0.014484622634021227,10
1,10,0.8,0.0661694,0.010812241564079117,10
1,10,0.9,0.0663429,0.008347488046712016,10
1,10,1.0,0.058293,0.009541602706044722,10
1,10,1.1,0.0604441,0.00912716099836088,10
1,10,1.2,0.0624566,0.014276812824997041,10
1,10,1.3,0.0557946,0.007866322205452811,10
1,10,1.4,0.0565579,0.006614417864785985,10
1,10,1.5,0.057356,0.006965820224496179,10
1,15,0.6,0.0919152,0.010533059487157565,10
1,15,0.7,0.0905967,0.02126898735741784,10
1,15,0.8,0.09226240000000001,0.015156642228409298,10
1,15,0.9,0.0773421,0.00794482652359383,10
1,15,1.0,0.08105470000000001,0.009536969865214006,10
1,15,1.1,0.0765093,0.010068735452379313,10
1,15,1.2,0.07848720000000001,0.012138035177078704,10
1,15,1.3,0.0777932,0.006663127055669884,10
1,15,1.4,0.0708882,0.01015767893566242,10
1,15,1.5,0.0754338,0.012859082695122544,10
1,20,0.6,0.1157878,0.019092298718593314,10
1,20,0.7,0.1018042,0.01201786545772584,10
1,20,0.8,0.0936502,0.011760139410738292,10
1,20,0.9,0.10163080000000001,0.022173514894125383,10
1,20,1.0,0.09323390000000001,0.023723541149878954,10
1,20,1.1,0.086433,0.012656568373773358,10
1,20,1.2,0.0860861,0.0158994661196532,10
1,20,1.3,0.0864331,0.013213019052813028,10
1,20,1.4,0.0844206,0.01816287546177642,10
1,20,1.5,0.085288,0.00885952315872587,10
1,30,0.6,0.1487509,0.019655234470491566,10
1,30,0.7,0.143442,0.022028437543321133,10
1,30,0.8,0.1359127,0.011014220662852183,10
1,30,0.9,0.1306039,0.024041119281139972,10
1,30,1.0,0.1201595,0.017369273618951367,10
1,30,1.1,0.1182858,0.02453444242610783,10
1,30,1.2,0.1218252,0.030588412625698638,10
1,30,1.3,0.1085011,0.011379851558346444,10
1,30,1.4,0.1109645,0.01288764947730966,10
1,30,1.5,0.09868160000000001,0.015064079601489097,10
2,5,0.6,0.1323039,0.014481228445473816,10
2,5,0.7,0.1129422,0.01702553458661431,10
2,5,0.8,0.1134976,0.019234469720790327,10
2,5,0.9,0.102047,0.01658869707361009,10
2,5,1.0,0.0959403,0.009025779036182971,10
2,5,1.1,0.0968426,0.015682160598590997,10
2,5,1.2,0.0961486,0.014464983361207159,10
2,5,1.3,0.0882373,0.01266366427263452,10
2,5,1.4,0.0893826,0.011836164769045759,10
2,5,1.5,0.08990290000000001,0.013034950528866614,10
2,10,0.6,0.1699169,0.03229397503699413,10
2,10,0.7,0.16915349999999998,0.014171351553398149,10
2,10,0.8,0.1505553,0.028895304860997745,10
2,10,0.9,0.1465649,0.018239485340601033,10
2,10,1.0,0.1348715,0.02524377335997929,10
2,10,1.1,0.1430952,0.017056582540473927,10
2,10,1.2,0.1255032,0.013597100137897052,10
2,10,1.3,0.1295628,0.016641440333096173,10
2,10,1.4,0.1139487,0.015236712959493592,10
2,10,1.5,0.1214435,0.02028333505245131,10
2,15,0.6,0.2201941,0.031174491820878173,10
2,15,0.7,0.1864332,0.026097582887309696,10
2,15,0.8,0.1721721,0.042892097706803765,10
2,15,0.9,0.1844901,0.02408614452937622,10
2,15,1.0,0.157599,0.016455517214600087,10
2,15,1.1,0.1482998,0.025330247147629652,10
2,15,1.2,0.1482304,0.02586567313719092,10
